review_id,k,scale,n_specs,verdict,prosecution_theta,prosecution_p,prosecution_sig,prosecution_spec,defence_theta,defence_p,defence_sig,defence_spec,adversarial_gap,gap_class,robustness_score
CD006475,27,ratio,1764,SPLIT,-0.1362,0.002074,True,FE/Wald/none,-0.1109,0.053323,False,FE/HKSJ/trim-and-fill,0.0253,Narrow,60.09
CD006515,5,ratio,378,UNANIMOUS_NULL,-0.3597,0.824412,False,FE/Wald/PET-PEESE,-0.3652,0.019551,False,FE/Wald/PET-PEESE,0.0054,Narrow,72.22
CD006536,43,ratio,2772,SPLIT,-0.7328,0.000657,True,FE/Wald/PET-PEESE,-0.2964,0.087989,False,FE/Wald/none,0.4364,Wide,98.48
CD006606,4,ratio,315,SPLIT,-1.094,0.0,True,FE/Wald/trim-and-fill,-0.5071,0.100428,False,FE/Wald/PET-PEESE,0.5869,Extreme,64.44
CD006632,23,difference,1512,SPLIT,-0.8428,0.0,True,FE/Wald/none,-0.4963,0.051444,False,FE/Wald/PET-PEESE,0.3465,Moderate,76.39
CD006689,5,ratio,378,SPLIT,-0.552,0.009386,True,FE/Wald/trim-and-fill,-1.9718,0.073281,False,FE/Wald/PET-PEESE,1.4198,Extreme,16.14
CD006712,3,difference,252,SPLIT,0.5355,0.042205,True,FE/Wald/trim-and-fill,1.2378,0.192295,False,FE/Wald/PET-PEESE,0.7023,Wide,72.22
CD006714,3,ratio,252,UNANIMOUS_NULL,0.0,1.0,False,FE/Wald/none,0.0123,0.146662,False,FE/Wald/PET-PEESE,0.0123,Narrow,66.67
CD006742,4,ratio,315,UNANIMOUS_NULL,-0.0634,0.906485,False,HS/Wald/trim-and-fill,-0.5175,0.13485,False,FE/Wald/PET-PEESE,0.4541,Wide,86.67
CD006839,3,ratio,252,UNANIMOUS_NULL,-0.0381,0.729168,False,FE/Wald/PET-PEESE,-0.0849,0.384881,False,FE/Wald/none,0.0469,Narrow,100.0
CD006913,29,ratio,1890,SPLIT,-0.1469,0.000104,True,REML/Wald/trim-and-fill,-0.0715,0.05365,False,DL/HKSJ/trim-and-fill,0.0754,Narrow,30.85
CD006919,19,ratio,1260,SPLIT,0.4485,0.000882,True,FE/Wald/none,0.3008,0.052734,False,FE/HKSJ/none,0.1477,Moderate,62.38
CD006942,4,ratio,315,UNANIMOUS_NULL,0.044,0.889057,False,HS/Wald/trim-and-fill,0.5911,0.0,False,FE/Wald/PET-PEESE,0.547,Extreme,27.62
CD006982,4,ratio,315,UNANIMOUS_NULL,-0.0311,0.986243,False,FE/Wald/PET-PEESE,-2.1582,0.086127,False,FE/Wald/PET-PEESE,2.1271,Extreme,69.52
CD007024,18,ratio,1197,SPLIT,0.1699,0.026385,True,FE/Wald/none,0.1466,0.055898,False,FE/Wald/none,0.0233,Narrow,91.23
CD007026,7,ratio,504,SPLIT,-0.1548,0.028735,True,FE/Wald/PET-PEESE,-0.2284,0.227035,False,FE/Wald/PET-PEESE,0.0736,Narrow,87.5
CD007079,10,ratio,693,SPLIT,-0.1534,0.007735,True,FE/Wald/none,-0.1534,0.091412,False,FE/HKSJ/none,0.0,Narrow,7.65
CD007130,26,ratio,1701,SPLIT,0.0518,0.015074,True,DL/Wald/trim-and-fill,0.0482,0.052894,False,DL/HKSJ/trim-and-fill,0.0036,Narrow,58.32
CD007156,3,ratio,252,SPLIT,-1.1132,0.000267,True,FE/Wald/none,-1.1132,0.06769,False,FE/HKSJ/none,0.0,Narrow,36.11
CD007310,7,ratio,504,UNANIMOUS_NULL,-0.1407,0.957115,False,FE/Wald/PET-PEESE,0.6204,0.210089,False,FE/Wald/PET-PEESE,0.7611,Extreme,95.83
CD007374,6,ratio,441,SPLIT,-1.0824,0.00158,True,FE/Wald/PET-PEESE,-0.3047,0.382048,False,FE/Wald/trim-and-fill,0.7776,Extreme,95.24
CD007491,8,ratio,567,SPLIT,0.1707,0.033704,True,FE/Wald/trim-and-fill,0.1707,0.219952,False,FE/HKSJ/trim-and-fill,0.0,Narrow,83.95
CD007569,6,ratio,441,SPLIT,0.3158,0.014733,True,FE/Wald/PET-PEESE,0.1771,0.099195,False,FE/HKSJ/none,0.1388,Moderate,79.37
CD007572,10,ratio,693,SPLIT,-0.1439,0.0,True,FE/Wald/none,0.0513,0.537107,False,FE/Wald/PET-PEESE,0.1952,Moderate,66.67
CD007639,5,ratio,378,UNANIMOUS_NULL,-0.0065,0.972798,False,HE/Wald/none,0.3273,0.009016,False,FE/Wald/trim-and-fill,0.3338,Wide,34.92
CD007674,28,ratio,1827,SPLIT,0.3538,0.0,True,FE/Wald/none,0.2254,0.050465,False,FE/HKSJ/none,0.1285,Moderate,55.17
CD007784,13,ratio,882,UNANIMOUS_SIGNIFICANT,-0.2692,0.0,True,FE/Wald/none,-0.347,8.4e-05,True,HS/Wald/trim-and-fill,0.0777,Narrow,100.0
CD007809,3,ratio,252,UNANIMOUS_NULL,-0.3557,0.885905,False,FE/Wald/PET-PEESE,0.446,0.17164,False,FE/Wald/none,0.8016,Extreme,91.67
CD007859,3,ratio,252,UNANIMOUS_NULL,0.0217,0.93524,False,HS/Wald/trim-and-fill,0.3614,0.063245,False,FE/Wald/none,0.3397,Wide,91.67
CD007872,3,ratio,252,UNANIMOUS_NULL,-0.0297,0.583717,False,FE/Wald/none,0.1224,0.144311,False,FE/Wald/PET-PEESE,0.1521,Moderate,91.67
CD007895,3,ratio,252,UNANIMOUS_NULL,0.1949,0.754723,False,FE/Wald/none,2.3424,0.418231,False,FE/Wald/PET-PEESE,2.1474,Extreme,75.0
CD007896,35,ratio,2268,SPLIT,0.9558,0.0,True,FE/Wald/none,0.491,0.063398,False,FE/Wald/PET-PEESE,0.4647,Wide,67.59
CD008063,50,difference,3213,SPLIT,0.1725,0.0,True,FE/Wald/none,-0.0512,0.385253,False,FE/Wald/PET-PEESE,0.2237,Moderate,66.67
CD008145,6,ratio,441,SPLIT,0.3028,0.0,True,FE/Wald/none,0.0911,0.111385,False,FE/HKSJ/none,0.2117,Moderate,48.53
CD008165,13,ratio,882,SPLIT,-0.1848,0.0,True,FE/Wald/none,-0.1962,0.059668,False,FE/HKSJ/none,0.0114,Narrow,25.62
CD008176,38,ratio,2457,UNANIMOUS_NULL,0.002,0.979454,False,FE/Wald/trim-and-fill,0.15,0.173004,False,FE/Wald/PET-PEESE,0.148,Moderate,65.81
CD008237,6,ratio,441,SPLIT,0.2762,0.0,True,FE/Wald/none,0.1922,0.05672,False,FE/Wald/PET-PEESE,0.084,Narrow,62.59
CD008309,4,ratio,315,SPLIT,-0.7742,3.4e-05,True,FE/Wald/trim-and-fill,-2.475,0.107024,False,FE/Wald/PET-PEESE,1.7008,Extreme,20.95
CD008349,68,difference,4347,SPLIT,0.2279,0.0,True,FE/Wald/none,0.0753,0.304141,False,FE/HKSJ/trim-and-fill,0.1526,Narrow,47.85
CD008469,11,ratio,756,UNANIMOUS_NULL,0.0149,0.990663,False,FE/Wald/PET-PEESE,0.3153,0.442524,False,FE/Wald/trim-and-fill,0.3004,Wide,69.44
CD008493,10,ratio,693,SPLIT,-0.1029,0.031282,True,FE/Wald/none,-0.1029,0.149354,False,FE/HKSJ/none,0.0,Narrow,65.37
CD008552,5,ratio,378,SPLIT,0.2998,0.013292,True,FE/Wald/PET-PEESE,0.6498,0.099439,False,FE/HKSJ/none,0.35,Wide,69.58
CD008564,12,ratio,819,SPLIT,-0.301,6.4e-05,True,FE/Wald/trim-and-fill,-0.5264,0.050523,False,FE/Wald/PET-PEESE,0.2254,Moderate,59.71
CD008628,9,ratio,630,UNANIMOUS_NULL,-0.0103,0.977175,False,FE/Wald/PET-PEESE,0.2378,0.206042,False,FE/Wald/none,0.248,Moderate,70.0
CD008688,3,ratio,252,UNANIMOUS_NULL,-0.0287,0.749775,False,FE/Wald/none,0.1328,0.167073,False,FE/Wald/PET-PEESE,0.1616,Moderate,91.67
CD008709,31,ratio,2016,SPLIT,-0.4822,0.005838,True,FE/Wald/trim-and-fill,-0.369,0.05002,False,FE/HKSJ/none,0.1132,Moderate,62.15
CD008858,63,ratio,4032,UNANIMOUS_SIGNIFICANT,0.5711,0.0,True,FE/Wald/none,0.456,1e-06,True,FE/Wald/PET-PEESE,0.115,Moderate,100.0
CD008879,8,ratio,567,SPLIT,-0.3298,0.007103,True,FE/Wald/PET-PEESE,-0.3545,0.077362,False,FE/HKSJ/trim-and-fill,0.0246,Narrow,24.34
CD008940,4,ratio,315,UNANIMOUS_NULL,-0.0128,0.985465,False,FE/Wald/none,3.1093,0.015141,False,FE/Wald/PET-PEESE,3.122,Extreme,33.33
CD009022,9,ratio,630,SPLIT,1.2849,0.001174,True,FE/Wald/trim-and-fill,1.1122,0.054633,False,FE/HKSJ/none,0.1727,Moderate,57.78
CD009102,5,ratio,378,SPLIT,-0.3212,0.017088,True,FE/Wald/PET-PEESE,-0.3631,0.128117,False,FE/HKSJ/trim-and-fill,0.0419,Narrow,77.78
CD009235,31,ratio,2016,UNANIMOUS_NULL,-0.0181,0.800103,False,FE/Wald/trim-and-fill,-0.1042,0.178267,False,HS/Wald/none,0.0861,Narrow,66.67
CD009252,14,ratio,945,SPLIT,0.3547,0.001874,True,FE/Wald/trim-and-fill,0.3547,0.058547,False,FE/HKSJ/trim-and-fill,0.0,Narrow,92.7
CD009298,11,ratio,756,UNANIMOUS_NULL,-0.0198,0.739886,False,FE/Wald/none,-0.0905,0.134547,False,FE/Wald/trim-and-fill,0.0706,Narrow,100.0
CD009362,27,ratio,1764,UNANIMOUS_SIGNIFICANT,-1.0105,0.0,True,FE/Wald/none,-0.8253,0.002484,True,FE/Wald/PET-PEESE,0.1852,Moderate,100.0
CD009417,5,ratio,378,SPLIT,1.1683,0.017919,True,FE/Wald/PET-PEESE,-0.2666,0.074888,False,FE/Wald/PET-PEESE,1.4348,Extreme,29.37
CD009508,10,ratio,693,SPLIT,0.751,0.00049,True,FE/Wald/none,0.6355,0.090976,False,FE/HKSJ/trim-and-fill,0.1155,Moderate,18.9
CD009531,8,ratio,567,UNANIMOUS_NULL,-0.0293,0.871458,False,FE/Wald/PET-PEESE,0.2724,0.068166,False,FE/Wald/none,0.3017,Wide,66.67
CD009535,9,ratio,630,SPLIT,-0.2254,0.0,True,FE/Wald/none,-0.1323,0.106895,False,FE/HKSJ/none,0.0932,Narrow,46.03
CD009609,8,ratio,567,SPLIT,-0.604,0.000813,True,FE/Wald/PET-PEESE,-0.5561,0.051747,False,FE/HKSJ/none,0.0479,Narrow,55.38
CD009679,24,ratio,1575,SPLIT,-0.568,0.000446,True,FE/Wald/trim-and-fill,-0.404,0.086292,False,FE/HKSJ/none,0.164,Moderate,89.27
CD009730,10,ratio,693,UNANIMOUS_NULL,0.0027,0.994751,False,REML/Wald/none,1.7182,0.047821,False,FE/Wald/PET-PEESE,1.7155,Extreme,45.45
CD009749,25,ratio,1638,UNANIMOUS_NULL,0.0089,0.933483,False,FE/Wald/none,0.2978,0.141054,False,FE/Wald/PET-PEESE,0.289,Moderate,100.0
CD009788,5,ratio,378,SPLIT,-0.3067,0.020921,True,FE/Wald/PET-PEESE,-0.3655,0.057609,False,FE/HKSJ/none,0.0589,Narrow,20.9
CD009945,3,ratio,252,SPLIT,0.7794,0.026336,True,FE/Wald/none,0.7794,0.156461,False,FE/HKSJ/none,0.0,Narrow,22.22
CD010001,25,ratio,1638,SPLIT,0.3716,0.0,True,FE/Wald/none,0.1739,0.314215,False,FE/Wald/PET-PEESE,0.1976,Moderate,66.67
CD010145,9,ratio,630,SPLIT,7.9697,1.6e-05,True,FE/Wald/PET-PEESE,0.5541,0.147226,False,FE/Wald/PET-PEESE,7.4156,Extreme,73.33
CD010189,6,ratio,441,UNANIMOUS_NULL,-0.0007,0.995605,False,HS/Wald/trim-and-fill,0.156,0.129391,False,PM/Wald/none,0.1567,Moderate,62.59
CD010216,7,ratio,504,UNANIMOUS_NULL,0.0141,0.976165,False,FE/Wald/PET-PEESE,-0.2822,0.298907,False,FE/Wald/PET-PEESE,0.2962,Moderate,87.5
CD010290,7,ratio,504,SPLIT,0.6452,0.018343,True,FE/Wald/trim-and-fill,0.6452,0.050444,False,FE/HKSJ/trim-and-fill,0.0,Narrow,93.06
CD010441,3,ratio,252,UNANIMOUS_NULL,0.0159,0.912518,False,FE/Wald/PET-PEESE,-0.0656,0.161813,False,FE/Wald/none,0.0815,Narrow,91.67
CD010533,3,ratio,252,SPLIT,-1.5761,0.014073,True,FE/Wald/none,-1.5761,0.133455,False,FE/HKSJ/none,0.0,Narrow,22.22
CD010583,3,ratio,252,SPLIT,-1.1487,0.012696,True,FE/Wald/none,-1.1487,0.242925,False,FE/HKSJ/none,0.0,Narrow,72.62
CD010779,5,difference,378,UNANIMOUS_NULL,-0.034,0.98249,False,FE/Wald/PET-PEESE,2.3888,0.22615,False,FE/Wald/PET-PEESE,2.4228,Extreme,77.78
CD010856,12,difference,819,SPLIT,1.0288,0.0,True,FE/Wald/none,0.2643,0.346737,False,FE/HKSJ/trim-and-fill,0.7645,Wide,68.99
CD010966,67,ratio,4284,UNANIMOUS_SIGNIFICANT,-0.2868,6e-05,True,FE/Wald/PET-PEESE,-0.1911,0.016659,True,FE/Wald/none,0.0957,Narrow,100.0
CD011039,5,ratio,378,SPLIT,-0.377,0.013322,True,FE/Wald/none,-0.377,0.289569,False,FE/HKSJ/none,0.0,Narrow,67.99
CD011044,26,ratio,1701,UNANIMOUS_SIGNIFICANT,0.6626,0.0,True,FE/Wald/trim-and-fill,0.5369,7.6e-05,True,FE/Wald/PET-PEESE,0.1257,Moderate,100.0
CD011120,9,ratio,630,SPLIT,0.2814,0.030061,True,FE/Wald/trim-and-fill,0.2814,0.055237,False,FE/HKSJ/trim-and-fill,0.0,Narrow,92.38
CD011197,6,ratio,441,UNANIMOUS_NULL,-0.0907,0.88402,False,FE/Wald/none,0.9755,0.10603,False,FE/Wald/PET-PEESE,1.0662,Extreme,90.48
CD011204,13,ratio,882,SPLIT,0.5354,0.0,True,FE/Wald/trim-and-fill,0.1629,0.166035,False,FE/HKSJ/trim-and-fill,0.3725,Wide,65.08
CD011305,3,ratio,252,UNANIMOUS_NULL,0.0019,0.997812,False,HS/Wald/none,0.5942,0.450538,False,FE/Wald/none,0.5923,Extreme,41.67
CD011330,4,ratio,315,SPLIT,6.9378,0.00465,True,FE/Wald/PET-PEESE,1.8005,0.174813,False,FE/HKSJ/none,5.1373,Extreme,62.22
CD011381,46,ratio,2961,SPLIT,0.1897,0.000125,True,FE/Wald/none,0.1572,0.069359,False,FE/HKSJ/trim-and-fill,0.0325,Narrow,15.47
